maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
-18.0,-28.0,2.0,-29.0,4.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,0.0,-27.0
-18.0,-28.0,2.0,-29.0,3.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,1.0,-28.0
-18.0,-28.0,2.0,-29.0,2.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,2.0,-28.0
-18.0,-28.0,2.0,-29.0,1.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,3.0,-28.0
-18.0,-28.0,2.0,-29.0,1.0,89.0,0.0,10.0,8.0,38.0,2018.0,1.0,1,4.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,89.0,0.0,10.0,8.0,38.0,2018.0,1.0,1,5.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,89.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,6.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,89.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,7.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,88.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,8.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,87.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,9.0,-27.0
-18.0,-28.0,2.0,-28.0,0.0,83.0,0.0,10.0,6.0,38.0,2018.0,1.0,1,10.0,-25.0
-18.0,-28.0,2.0,-26.0,0.0,79.0,0.0,10.0,6.0,38.0,2018.0,1.0,1,11.0,-24.0
-18.0,-28.0,2.0,-25.0,0.0,75.0,0.0,10.0,5.0,38.0,2018.0,1.0,1,12.0,-22.0
-18.0,-28.0,2.0,-24.0,0.0,74.0,0.0,10.0,5.0,38.0,2018.0,1.0,1,13.0,-20.0
-18.0,-28.0,2.0,-23.0,0.0,73.0,0.0,10.0,4.0,38.0,2018.0,1.0,1,14.0,-19.0
-18.0,-28.0,2.0,-22.0,0.0,72.0,0.0,10.0,4.0,38.0,2018.0,1.0,1,15.0,-18.0
-18.0,-28.0,2.0,-23.0,0.0,77.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,16.0,-20.0
-18.0,-28.0,2.0,-23.0,0.0,81.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,17.0,-21.0
-18.0,-28.0,2.0,-24.0,0.0,85.0,0.0,10.0,2.0,38.0,2018.0,1.0,1,18.0,-23.0
-18.0,-28.0,2.0,-24.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,19.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,20.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,21.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,22.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,87.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,23.0,-23.0
-11.0,-17.0,2.0,-10.0,11.0,86.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,0.0,-8.0
-11.0,-17.0,2.0,-11.0,10.0,87.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,1.0,-9.0
-11.0,-17.0,2.0,-11.0,8.0,87.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,2.0,-10.0
-11.0,-17.0,2.0,-12.0,7.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,3.0,-10.0
-11.0,-17.0,2.0,-13.0,8.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,4.0,-11.0
-11.0,-17.0,2.0,-13.0,9.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,5.0,-12.0
-11.0,-17.0,2.0,-14.0,10.0,88.0,0.0,10.0,19.0,38.0,2018.0,1.0,3,6.0,-13.0
-11.0,-17.0,2.0,-15.0,10.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,7.0,-13.0
-11.0,-17.0,2.0,-15.0,11.0,89.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,8.0,-14.0
-11.0,-17.0,2.0,-16.0,11.0,89.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,9.0,-14.0
-11.0,-17.0,2.0,-15.0,9.0,86.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,10.0,-13.0
-11.0,-17.0,2.0,-15.0,8.0,83.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,11.0,-12.0
-11.0,-17.0,2.0,-14.0,6.0,80.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,12.0,-12.0
-11.0,-17.0,2.0,-14.0,10.0,80.0,0.0,10.0,16.0,38.0,2018.0,1.0,3,13.0,-11.0
-11.0,-17.0,2.0,-14.0,13.0,81.0,0.0,10.0,15.0,38.0,2018.0,1.0,3,14.0,-11.0
-11.0,-17.0,2.0,-13.0,17.0,81.0,0.0,10.0,15.0,38.0,2018.0,1.0,3,15.0,-11.0
-11.0,-17.0,2.0,-14.0,24.0,84.0,0.0,10.0,12.0,38.0,2018.0,1.0,3,16.0,-12.0
-11.0,-17.0,2.0,-15.0,31.0,87.0,0.0,10.0,10.0,38.0,2018.0,1.0,3,17.0,-14.0
-11.0,-17.0,2.0,-16.0,37.0,90.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,18.0,-15.0
-11.0,-17.0,2.0,-17.0,29.0,91.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,19.0,-16.0
-11.0,-17.0,2.0,-17.0,21.0,91.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,20.0,-16.0
-11.0,-17.0,2.0,-18.0,13.0,92.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,21.0,-17.0
-11.0,-17.0,2.0,-18.0,11.0,92.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,22.0,-17.0
-11.0,-17.0,2.0,-19.0,9.0,92.0,0.0,10.0,8.0,38.0,2018.0,1.0,3,23.0,-18.0
-10.0,-19.0,2.0,-19.0,7.0,92.0,0.0,10.0,8.0,38.0,2018.0,1.0,4,0.0,-18.0
-10.0,-19.0,2.0,-19.0,6.0,92.0,0.0,10.0,7.0,38.0,2018.0,1.0,4,1.0,-18.0
-10.0,-19.0,2.0,-19.0,5.0,91.0,0.0,10.0,6.0,38.0,2018.0,1.0,4,2.0,-18.0
-10.0,-19.0,2.0,-20.0,5.0,91.0,0.0,10.0,5.0,38.0,2018.0,1.0,4,3.0,-18.0
-10.0,-19.0,2.0,-20.0,7.0,91.0,0.0,10.0,4.0,38.0,2018.0,1.0,4,4.0,-19.0
-10.0,-19.0,2.0,-20.0,10.0,90.0,0.0,10.0,3.0,38.0,2018.0,1.0,4,5.0,-19.0
-10.0,-19.0,2.0,-20.0,12.0,90.0,0.0,10.0,1.0,38.0,2018.0,1.0,4,6.0,-19.0
-10.0,-19.0,2.0,-19.0,19.0,88.0,0.0,10.0,2.0,38.0,2018.0,1.0,4,7.0,-18.0
-10.0,-19.0,2.0,-19.0,25.0,87.0,0.0,10.0,3.0,38.0,2018.0,1.0,4,8.0,-17.0
-10.0,-19.0,2.0,-18.0,32.0,85.0,0.0,10.0,4.0,38.0,2018.0,1.0,4,9.0,-17.0
-10.0,-19.0,2.0,-17.0,37.0,83.0,0.0,10.0,6.0,38.0,2018.0,1.0,4,10.0,-15.0
-10.0,-19.0,2.0,-16.0,42.0,81.0,0.0,10.0,7.0,38.0,2018.0,1.0,4,11.0,-13.0
-10.0,-19.0,2.0,-15.0,48.0,79.0,0.0,10.0,9.0,38.0,2018.0,1.0,4,12.0,-12.0
-10.0,-19.0,2.0,-14.0,62.0,81.0,0.0,10.0,10.0,38.0,2018.0,1.0,4,13.0,-11.0
-10.0,-19.0,2.0,-13.0,76.0,84.0,0.0,10.0,11.0,38.0,2018.0,1.0,4,14.0,-10.0
-10.0,-19.0,2.0,-11.0,91.0,87.0,0.0,10.0,12.0,38.0,2018.0,1.0,4,15.0,-10.0
-10.0,-19.0,2.0,-12.0,94.0,89.0,0.0,8.0,12.0,38.0,2018.0,1.0,4,16.0,-10.0
-10.0,-19.0,2.0,-12.0,97.0,91.0,0.0,7.0,12.0,38.0,2018.0,1.0,4,17.0,-10.0
-10.0,-19.0,2.0,-12.0,100.0,93.0,0.0,5.0,13.0,38.0,2018.0,1.0,4,18.0,-11.0
-10.0,-19.0,2.0,-12.0,87.0,92.0,0.0,7.0,12.0,38.0,2018.0,1.0,4,19.0,-11.0
-10.0,-19.0,2.0,-13.0,74.0,92.0,0.0,8.0,11.0,38.0,2018.0,1.0,4,20.0,-12.0
-10.0,-19.0,2.0,-13.0,61.0,92.0,0.0,10.0,10.0,38.0,2018.0,1.0,4,21.0,-12.0
-10.0,-19.0,2.0,-13.0,66.0,92.0,0.0,8.0,9.0,38.0,2018.0,1.0,4,22.0,-12.0
-10.0,-19.0,2.0,-13.0,72.0,92.0,0.0,7.0,9.0,38.0,2018.0,1.0,4,23.0,-12.0
-11.0,-14.0,1.0,-13.0,77.0,92.0,0.0,5.0,8.0,38.0,2018.0,1.0,5,0.0,-11.0
-11.0,-14.0,1.0,-13.0,85.0,92.0,0.0,7.0,8.0,38.0,2018.0,1.0,5,1.0,-12.0
-11.0,-14.0,1.0,-13.0,92.0,93.0,0.0,8.0,9.0,38.0,2018.0,1.0,5,2.0,-12.0
-11.0,-14.0,1.0,-13.0,100.0,94.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,3.0,-13.0
-11.0,-14.0,1.0,-14.0,100.0,94.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,4.0,-13.0
-11.0,-14.0,1.0,-14.0,100.0,95.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,5.0,-14.0
-11.0,-14.0,1.0,-15.0,100.0,95.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,6.0,-14.0
-11.0,-14.0,1.0,-15.0,97.0,94.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,7.0,-14.0
-11.0,-14.0,1.0,-14.0,94.0,93.0,0.0,10.0,10.0,38.0,2018.0,1.0,5,8.0,-13.0
-11.0,-14.0,1.0,-14.0,91.0,92.0,0.0,10.0,11.0,38.0,2018.0,1.0,5,9.0,-13.0
-11.0,-14.0,1.0,-14.0,94.0,90.0,0.0,10.0,10.0,38.0,2018.0,1.0,5,10.0,-13.0
-11.0,-14.0,1.0,-13.0,97.0,88.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,11.0,-12.0
-11.0,-14.0,1.0,-13.0,100.0,86.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,12.0,-11.0
-11.0,-14.0,1.0,-13.0,100.0,87.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,13.0,-11.0
-11.0,-14.0,1.0,-13.0,100.0,87.0,0.0,10.0,10.0,38.0,2018.0,1.0,5,14.0,-11.0
-11.0,-14.0,1.0,-12.0,100.0,87.0,0.0,10.0,11.0,38.0,2018.0,1.0,5,15.0,-11.0
-11.0,-14.0,1.0,-13.0,83.0,89.0,0.0,10.0,10.0,38.0,2018.0,1.0,5,16.0,-12.0
-11.0,-14.0,1.0,-14.0,66.0,90.0,0.0,10.0,8.0,38.0,2018.0,1.0,5,17.0,-13.0
-11.0,-14.0,1.0,-15.0,49.0,91.0,0.0,10.0,7.0,38.0,2018.0,1.0,5,18.0,-14.0
-11.0,-14.0,1.0,-15.0,63.0,91.0,0.0,10.0,8.0,38.0,2018.0,1.0,5,19.0,-14.0
-11.0,-14.0,1.0,-15.0,77.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,20.0,-14.0
-11.0,-14.0,1.0,-15.0,92.0,89.0,0.0,10.0,10.0,38.0,2018.0,1.0,5,21.0,-14.0
-11.0,-14.0,1.0,-15.0,84.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,22.0,-14.0
-11.0,-14.0,1.0,-15.0,76.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,5,23.0,-14.0
-9.0,-17.0,1.0,-16.0,69.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,6,0.0,-14.0
-9.0,-17.0,1.0,-16.0,53.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,6,1.0,-15.0
-9.0,-17.0,1.0,-17.0,37.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,6,2.0,-16.0
-9.0,-17.0,1.0,-18.0,22.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,6,3.0,-17.0
-9.0,-17.0,1.0,-18.0,19.0,89.0,0.0,10.0,10.0,38.0,2018.0,1.0,6,4.0,-17.0
-9.0,-17.0,1.0,-19.0,17.0,89.0,0.0,10.0,10.0,38.0,2018.0,1.0,6,5.0,-17.0
-9.0,-17.0,1.0,-19.0,14.0,88.0,0.0,10.0,11.0,38.0,2018.0,1.0,6,6.0,-17.0
-9.0,-17.0,1.0,-19.0,17.0,86.0,0.0,10.0,12.0,38.0,2018.0,1.0,6,7.0,-17.0
-9.0,-17.0,1.0,-18.0,19.0,85.0,0.0,10.0,12.0,38.0,2018.0,1.0,6,8.0,-16.0
-9.0,-17.0,1.0,-18.0,22.0,83.0,0.0,10.0,13.0,38.0,2018.0,1.0,6,9.0,-16.0
-9.0,-17.0,1.0,-17.0,17.0,81.0,0.0,10.0,14.0,38.0,2018.0,1.0,6,10.0,-14.0
-9.0,-17.0,1.0,-16.0,12.0,79.0,0.0,10.0,14.0,38.0,2018.0,1.0,6,11.0,-13.0
-9.0,-17.0,1.0,-15.0,8.0,77.0,0.0,10.0,15.0,38.0,2018.0,1.0,6,12.0,-11.0
-9.0,-17.0,1.0,-14.0,11.0,78.0,0.0,10.0,17.0,38.0,2018.0,1.0,6,13.0,-11.0
-9.0,-17.0,1.0,-13.0,14.0,79.0,0.0,10.0,18.0,38.0,2018.0,1.0,6,14.0,-10.0
-9.0,-17.0,1.0,-12.0,17.0,80.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,15.0,-9.0
-9.0,-17.0,1.0,-12.0,28.0,80.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,16.0,-9.0
-9.0,-17.0,1.0,-12.0,38.0,81.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,17.0,-9.0
-9.0,-17.0,1.0,-12.0,49.0,81.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,18.0,-9.0
-9.0,-17.0,1.0,-12.0,38.0,80.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,19.0,-9.0
-9.0,-17.0,1.0,-12.0,27.0,79.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,20.0,-9.0
-9.0,-17.0,1.0,-12.0,16.0,78.0,0.0,10.0,19.0,38.0,2018.0,1.0,6,21.0,-9.0
-9.0,-17.0,1.0,-12.0,14.0,79.0,0.0,10.0,20.0,38.0,2018.0,1.0,6,22.0,-9.0
-9.0,-17.0,1.0,-12.0,12.0,80.0,0.0,10.0,22.0,38.0,2018.0,1.0,6,23.0,-9.0
2.0,-8.0,2.0,-11.0,10.0,80.0,0.0,10.0,23.0,38.0,2018.0,1.0,7,0.0,-8.0
2.0,-8.0,2.0,-10.0,13.0,82.0,0.0,10.0,21.0,38.0,2018.0,1.0,7,1.0,-8.0
2.0,-8.0,2.0,-10.0,16.0,83.0,0.0,10.0,18.0,38.0,2018.0,1.0,7,2.0,-7.0
2.0,-8.0,2.0,-9.0,19.0,84.0,0.0,10.0,16.0,38.0,2018.0,1.0,7,3.0,-7.0
2.0,-8.0,2.0,-8.0,46.0,87.0,0.0,10.0,15.0,38.0,2018.0,1.0,7,4.0,-6.0
2.0,-8.0,2.0,-6.0,73.0,90.0,0.0,10.0,15.0,38.0,2018.0,1.0,7,5.0,-5.0
2.0,-8.0,2.0,-5.0,100.0,93.0,0.0,10.0,15.0,38.0,2018.0,1.0,7,6.0,-4.0
2.0,-8.0,2.0,-4.0,100.0,94.0,0.0,7.0,14.0,38.0,2018.0,1.0,7,7.0,-3.0
2.0,-8.0,2.0,-3.0,100.0,95.0,0.0,5.0,13.0,38.0,2018.0,1.0,7,8.0,-2.0
2.0,-8.0,2.0,-1.0,100.0,96.0,0.0,2.0,12.0,38.0,2018.0,1.0,7,9.0,-1.0
2.0,-8.0,2.0,-0.0,100.0,97.0,0.0,1.0,12.0,38.0,2018.0,1.0,7,10.0,0.0
2.0,-8.0,2.0,1.0,100.0,98.0,0.0,1.0,12.0,38.0,2018.0,1.0,7,11.0,1.0
2.0,-8.0,2.0,2.0,100.0,100.0,0.0,0.0,12.0,38.0,2018.0,1.0,7,12.0,2.0
2.0,-8.0,2.0,2.0,85.0,98.0,0.0,1.0,11.0,38.0,2018.0,1.0,7,13.0,2.0
2.0,-8.0,2.0,1.0,69.0,97.0,0.0,1.0,10.0,38.0,2018.0,1.0,7,14.0,2.0
2.0,-8.0,2.0,1.0,54.0,96.0,0.0,2.0,9.0,38.0,2018.0,1.0,7,15.0,2.0
2.0,-8.0,2.0,0.0,51.0,95.0,0.0,5.0,10.0,38.0,2018.0,1.0,7,16.0,1.0
2.0,-8.0,2.0,-1.0,48.0,95.0,0.0,7.0,10.0,38.0,2018.0,1.0,7,17.0,0.0
2.0,-8.0,2.0,-2.0,45.0,94.0,0.0,10.0,11.0,38.0,2018.0,1.0,7,18.0,-1.0
2.0,-8.0,2.0,-2.0,40.0,93.0,0.0,10.0,13.0,38.0,2018.0,1.0,7,19.0,-1.0
2.0,-8.0,2.0,-2.0,36.0,93.0,0.0,10.0,14.0,38.0,2018.0,1.0,7,20.0,-1.0
2.0,-8.0,2.0,-2.0,31.0,92.0,0.0,10.0,16.0,38.0,2018.0,1.0,7,21.0,-1.0
2.0,-8.0,2.0,-3.0,23.0,92.0,0.0,10.0,16.0,38.0,2018.0,1.0,7,22.0,-2.0
2.0,-8.0,2.0,-4.0,15.0,92.0,0.0,10.0,16.0,38.0,2018.0,1.0,7,23.0,-3.0
5.0,-4.0,2.0,-5.0,7.0,91.0,0.0,10.0,15.0,38.0,2018.0,1.0,8,0.0,-4.0
5.0,-4.0,2.0,-5.0,7.0,90.0,0.0,10.0,13.0,38.0,2018.0,1.0,8,1.0,-4.0
5.0,-4.0,2.0,-5.0,7.0,89.0,0.0,10.0,11.0,38.0,2018.0,1.0,8,2.0,-4.0
5.0,-4.0,2.0,-6.0,7.0,88.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,3.0,-4.0
5.0,-4.0,2.0,-6.0,6.0,87.0,0.0,10.0,8.0,38.0,2018.0,1.0,8,4.0,-4.0
5.0,-4.0,2.0,-6.0,6.0,85.0,0.0,10.0,6.0,38.0,2018.0,1.0,8,5.0,-4.0
5.0,-4.0,2.0,-7.0,5.0,83.0,0.0,10.0,5.0,38.0,2018.0,1.0,8,6.0,-4.0
5.0,-4.0,2.0,-6.0,4.0,83.0,0.0,10.0,6.0,38.0,2018.0,1.0,8,7.0,-4.0
5.0,-4.0,2.0,-6.0,3.0,82.0,0.0,10.0,8.0,38.0,2018.0,1.0,8,8.0,-3.0
5.0,-4.0,2.0,-6.0,2.0,82.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,9.0,-3.0
5.0,-4.0,2.0,-4.0,2.0,81.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,10.0,-1.0
5.0,-4.0,2.0,-2.0,3.0,80.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,11.0,1.0
5.0,-4.0,2.0,-1.0,3.0,79.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,12.0,2.0
5.0,-4.0,2.0,0.0,3.0,80.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,13.0,3.0
5.0,-4.0,2.0,1.0,4.0,81.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,14.0,4.0
5.0,-4.0,2.0,2.0,4.0,82.0,0.0,10.0,9.0,38.0,2018.0,1.0,8,15.0,5.0
5.0,-4.0,2.0,1.0,4.0,82.0,0.0,10.0,10.0,38.0,2018.0,1.0,8,16.0,3.0
5.0,-4.0,2.0,-1.0,4.0,83.0,0.0,10.0,12.0,38.0,2018.0,1.0,8,17.0,2.0
5.0,-4.0,2.0,-2.0,4.0,83.0,0.0,10.0,14.0,38.0,2018.0,1.0,8,18.0,1.0
5.0,-4.0,2.0,-2.0,5.0,83.0,0.0,10.0,13.0,38.0,2018.0,1.0,8,19.0,1.0
5.0,-4.0,2.0,-2.0,6.0,83.0,0.0,10.0,13.0,38.0,2018.0,1.0,8,20.0,1.0
5.0,-4.0,2.0,-1.0,7.0,84.0,0.0,10.0,13.0,38.0,2018.0,1.0,8,21.0,1.0
5.0,-4.0,2.0,-2.0,6.0,83.0,0.0,10.0,14.0,38.0,2018.0,1.0,8,22.0,1.0
5.0,-4.0,2.0,-2.0,6.0,82.0,0.0,10.0,14.0,38.0,2018.0,1.0,8,23.0,1.0
6.0,1.0,2.0,-2.0,5.0,82.0,0.0,10.0,15.0,38.0,2018.0,1.0,9,0.0,1.0
6.0,1.0,2.0,-2.0,7.0,82.0,0.0,10.0,15.0,38.0,2018.0,1.0,9,1.0,1.0
6.0,1.0,2.0,-2.0,8.0,82.0,0.0,10.0,16.0,38.0,2018.0,1.0,9,2.0,1.0
6.0,1.0,2.0,-2.0,10.0,82.0,0.0,10.0,16.0,38.0,2018.0,1.0,9,3.0,1.0
6.0,1.0,2.0,-2.0,16.0,82.0,0.0,10.0,16.0,38.0,2018.0,1.0,9,4.0,1.0
6.0,1.0,2.0,-2.0,23.0,82.0,0.0,10.0,17.0,38.0,2018.0,1.0,9,5.0,1.0
6.0,1.0,2.0,-2.0,30.0,82.0,0.0,10.0,17.0,38.0,2018.0,1.0,9,6.0,1.0
6.0,1.0,2.0,-2.0,37.0,81.0,0.0,10.0,19.0,38.0,2018.0,1.0,9,7.0,1.0
6.0,1.0,2.0,-1.0,43.0,80.0,0.0,10.0,21.0,38.0,2018.0,1.0,9,8.0,2.0
6.0,1.0,2.0,-1.0,50.0,80.0,0.0,10.0,22.0,38.0,2018.0,1.0,9,9.0,2.0
6.0,1.0,2.0,-0.0,60.0,79.0,0.0,10.0,23.0,38.0,2018.0,1.0,9,10.0,3.0
6.0,1.0,2.0,0.0,70.0,77.0,0.0,10.0,24.0,38.0,2018.0,1.0,9,11.0,4.0
6.0,1.0,2.0,1.0,80.0,76.0,0.0,10.0,25.0,38.0,2018.0,1.0,9,12.0,5.0
6.0,1.0,2.0,1.0,64.0,74.0,0.0,10.0,24.0,38.0,2018.0,1.0,9,13.0,5.0
6.0,1.0,2.0,1.0,48.0,72.0,0.0,10.0,23.0,38.0,2018.0,1.0,9,14.0,6.0
6.0,1.0,2.0,1.0,32.0,70.0,0.0,10.0,22.0,38.0,2018.0,1.0,9,15.0,6.0
6.0,1.0,2.0,0.0,22.0,74.0,0.0,10.0,19.0,38.0,2018.0,1.0,9,16.0,5.0
6.0,1.0,2.0,-0.0,12.0,78.0,0.0,10.0,16.0,38.0,2018.0,1.0,9,17.0,3.0
6.0,1.0,2.0,-1.0,2.0,82.0,0.0,10.0,13.0,38.0,2018.0,1.0,9,18.0,2.0
6.0,1.0,2.0,-1.0,3.0,82.0,0.0,10.0,17.0,38.0,2018.0,1.0,9,19.0,2.0
6.0,1.0,2.0,-1.0,4.0,83.0,0.0,10.0,22.0,38.0,2018.0,1.0,9,20.0,2.0
6.0,1.0,2.0,-0.0,5.0,84.0,0.0,10.0,26.0,38.0,2018.0,1.0,9,21.0,2.0
6.0,1.0,2.0,-0.0,15.0,86.0,0.0,10.0,26.0,38.0,2018.0,1.0,9,22.0,2.0
6.0,1.0,2.0,-0.0,25.0,89.0,0.0,10.0,26.0,38.0,2018.0,1.0,9,23.0,2.0
8.0,0.0,2.0,0.0,36.0,91.0,0.0,10.0,26.0,38.0,2018.0,1.0,10,0.0,1.0
8.0,0.0,2.0,-0.0,41.0,92.0,0.0,10.0,24.0,38.0,2018.0,1.0,10,1.0,1.0
8.0,0.0,2.0,-0.0,46.0,92.0,0.0,10.0,22.0,38.0,2018.0,1.0,10,2.0,1.0
8.0,0.0,2.0,-0.0,52.0,93.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,3.0,1.0
8.0,0.0,2.0,-0.0,62.0,94.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,4.0,1.0
8.0,0.0,2.0,-0.0,72.0,94.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,5.0,1.0
8.0,0.0,2.0,-0.0,82.0,95.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,6.0,0.0
8.0,0.0,2.0,0.0,86.0,95.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,7.0,1.0
8.0,0.0,2.0,1.0,91.0,95.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,8.0,2.0
8.0,0.0,2.0,2.0,95.0,94.0,0.0,10.0,21.0,38.0,2018.0,1.0,10,9.0,2.0
8.0,0.0,2.0,2.0,92.0,92.0,0.0,10.0,20.0,38.0,2018.0,1.0,10,10.0,3.0
8.0,0.0,2.0,2.0,89.0,90.0,0.0,10.0,19.0,38.0,2018.0,1.0,10,11.0,4.0
8.0,0.0,2.0,3.0,86.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,10,12.0,5.0
8.0,0.0,2.0,3.0,61.0,85.0,0.0,10.0,17.0,38.0,2018.0,1.0,10,13.0,6.0
8.0,0.0,2.0,4.0,37.0,82.0,0.0,10.0,16.0,38.0,2018.0,1.0,10,14.0,7.0
8.0,0.0,2.0,5.0,12.0,79.0,0.0,10.0,15.0,38.0,2018.0,1.0,10,15.0,8.0
8.0,0.0,2.0,4.0,15.0,81.0,0.0,10.0,14.0,38.0,2018.0,1.0,10,16.0,7.0
8.0,0.0,2.0,4.0,19.0,84.0,0.0,10.0,12.0,38.0,2018.0,1.0,10,17.0,6.0
8.0,0.0,2.0,3.0,22.0,87.0,0.0,10.0,10.0,38.0,2018.0,1.0,10,18.0,5.0
8.0,0.0,2.0,4.0,43.0,88.0,0.0,7.0,10.0,38.0,2018.0,1.0,10,19.0,5.0
8.0,0.0,2.0,4.0,64.0,89.0,0.1,5.0,10.0,38.0,2018.0,1.0,10,20.0,6.0
8.0,0.0,2.0,4.0,85.0,90.0,0.1,2.0,10.0,38.0,2018.0,1.0,10,21.0,6.0
8.0,0.0,2.0,4.0,90.0,90.0,0.0,4.0,15.0,38.0,2018.0,1.0,10,22.0,5.0
8.0,0.0,2.0,3.0,95.0,90.0,0.4,7.0,20.0,38.0,2018.0,1.0,10,23.0,5.0
-6.0,-12.0,1.0,3.0,100.0,89.0,0.5,9.0,26.0,38.0,2018.0,1.0,11,0.0,4.0
-6.0,-12.0,1.0,-0.0,100.0,85.0,0.2,9.0,29.0,38.0,2018.0,1.0,11,1.0,2.0
-6.0,-12.0,1.0,-3.0,100.0,81.0,0.2,8.0,32.0,38.0,2018.0,1.0,11,2.0,-0.0
-6.0,-12.0,1.0,-6.0,100.0,77.0,0.2,8.0,36.0,38.0,2018.0,1.0,11,3.0,-2.0
-6.0,-12.0,1.0,-7.0,100.0,76.0,0.1,5.0,36.0,38.0,2018.0,1.0,11,4.0,-4.0
-6.0,-12.0,1.0,-9.0,100.0,74.0,0.3,3.0,36.0,38.0,2018.0,1.0,11,5.0,-5.0
-6.0,-12.0,1.0,-11.0,100.0,73.0,0.4,0.0,37.0,38.0,2018.0,1.0,11,6.0,-6.0
-6.0,-12.0,1.0,-11.0,100.0,78.0,0.2,0.0,36.0,38.0,2018.0,1.0,11,7.0,-8.0
-6.0,-12.0,1.0,-12.0,100.0,83.0,0.8,0.0,35.0,38.0,2018.0,1.0,11,8.0,-9.0
