maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
18.0,10.0,5.0,13.0,32.0,82.0,0.0,10.0,28.0,94.0,2018.0,3.0,30,1.0,16.0
18.0,10.0,5.0,13.0,37.0,82.0,0.0,10.0,28.0,94.0,2018.0,3.0,30,2.0,16.0
18.0,10.0,5.0,13.0,41.0,82.0,0.0,10.0,29.0,94.0,2018.0,3.0,30,3.0,16.0
18.0,10.0,5.0,13.0,43.0,81.0,0.0,10.0,29.0,94.0,2018.0,3.0,30,4.0,16.0
18.0,10.0,5.0,13.0,45.0,80.0,0.0,10.0,28.0,94.0,2018.0,3.0,30,5.0,16.0
18.0,10.0,5.0,13.0,46.0,78.0,0.0,10.0,28.0,94.0,2018.0,3.0,30,6.0,16.0
18.0,10.0,5.0,13.0,64.0,81.0,0.0,10.0,28.0,94.0,2018.0,3.0,30,7.0,17.0
18.0,10.0,5.0,14.0,82.0,84.0,0.2,10.0,29.0,94.0,2018.0,3.0,30,8.0,17.0
18.0,10.0,5.0,14.0,100.0,86.0,0.3,10.0,30.0,94.0,2018.0,3.0,30,9.0,17.0
18.0,10.0,5.0,14.0,100.0,86.0,0.2,10.0,28.0,94.0,2018.0,3.0,30,10.0,17.0
18.0,10.0,5.0,14.0,99.0,86.0,0.0,10.0,26.0,94.0,2018.0,3.0,30,11.0,17.0
18.0,10.0,5.0,14.0,99.0,86.0,0.0,10.0,25.0,94.0,2018.0,3.0,30,12.0,17.0
18.0,10.0,5.0,14.0,78.0,83.0,0.0,10.0,25.0,94.0,2018.0,3.0,30,13.0,17.0
18.0,10.0,5.0,14.0,56.0,79.0,0.0,10.0,25.0,94.0,2018.0,3.0,30,14.0,17.0
18.0,10.0,5.0,13.0,35.0,76.0,0.0,10.0,24.0,94.0,2018.0,3.0,30,15.0,18.0
18.0,10.0,5.0,12.0,43.0,78.0,0.0,10.0,22.0,94.0,2018.0,3.0,30,16.0,16.0
18.0,10.0,5.0,11.0,51.0,79.0,0.0,10.0,19.0,94.0,2018.0,3.0,30,17.0,15.0
18.0,10.0,5.0,10.0,59.0,80.0,0.0,10.0,17.0,94.0,2018.0,3.0,30,18.0,14.0
18.0,10.0,5.0,9.0,51.0,78.0,0.0,10.0,18.0,94.0,2018.0,3.0,30,19.0,12.0
18.0,10.0,5.0,7.0,44.0,76.0,0.0,10.0,20.0,94.0,2018.0,3.0,30,20.0,11.0
18.0,10.0,5.0,6.0,36.0,74.0,0.1,10.0,21.0,94.0,2018.0,3.0,30,21.0,10.0
18.0,10.0,5.0,5.0,26.0,73.0,0.0,10.0,20.0,94.0,2018.0,3.0,30,22.0,9.0
18.0,10.0,5.0,4.0,16.0,72.0,0.0,10.0,19.0,94.0,2018.0,3.0,30,23.0,9.0
11.0,6.0,3.0,3.0,5.0,71.0,0.0,10.0,18.0,94.0,2018.0,3.0,31,0.0,8.0
11.0,6.0,3.0,3.0,5.0,70.0,0.0,10.0,18.0,94.0,2018.0,3.0,31,1.0,8.0
11.0,6.0,3.0,2.0,4.0,69.0,0.0,10.0,19.0,94.0,2018.0,3.0,31,2.0,7.0
11.0,6.0,3.0,1.0,3.0,68.0,0.0,10.0,19.0,94.0,2018.0,3.0,31,3.0,6.0
11.0,6.0,3.0,1.0,2.0,67.0,0.0,10.0,18.0,94.0,2018.0,3.0,31,4.0,6.0
11.0,6.0,3.0,0.0,1.0,66.0,0.0,10.0,17.0,94.0,2018.0,3.0,31,5.0,6.0
11.0,6.0,3.0,0.0,0.0,65.0,0.0,10.0,15.0,94.0,2018.0,3.0,31,6.0,6.0
11.0,6.0,3.0,-0.0,0.0,61.0,0.0,10.0,15.0,94.0,2018.0,3.0,31,7.0,7.0
11.0,6.0,3.0,-0.0,0.0,57.0,0.0,10.0,14.0,94.0,2018.0,3.0,31,8.0,8.0
11.0,6.0,3.0,-0.0,0.0,54.0,0.0,10.0,13.0,94.0,2018.0,3.0,31,9.0,9.0
11.0,6.0,3.0,0.0,0.0,51.0,0.0,10.0,12.0,94.0,2018.0,3.0,31,10.0,10.0
11.0,6.0,3.0,0.0,0.0,49.0,0.0,10.0,11.0,94.0,2018.0,3.0,31,11.0,10.0
11.0,6.0,3.0,0.0,0.0,47.0,0.0,10.0,10.0,94.0,2018.0,3.0,31,12.0,11.0
11.0,6.0,3.0,1.0,0.0,48.0,0.0,10.0,11.0,94.0,2018.0,3.0,31,13.0,11.0
11.0,6.0,3.0,1.0,0.0,49.0,0.0,10.0,12.0,94.0,2018.0,3.0,31,14.0,11.0
11.0,6.0,3.0,1.0,0.0,49.0,0.0,10.0,13.0,94.0,2018.0,3.0,31,15.0,11.0
11.0,6.0,3.0,1.0,1.0,54.0,0.0,10.0,14.0,94.0,2018.0,3.0,31,16.0,10.0
11.0,6.0,3.0,1.0,1.0,59.0,0.0,10.0,15.0,94.0,2018.0,3.0,31,17.0,9.0
11.0,6.0,3.0,2.0,2.0,65.0,0.0,10.0,17.0,94.0,2018.0,3.0,31,18.0,8.0
11.0,6.0,3.0,3.0,11.0,69.0,0.0,10.0,16.0,94.0,2018.0,3.0,31,19.0,8.0
11.0,6.0,3.0,4.0,20.0,73.0,0.0,10.0,16.0,94.0,2018.0,3.0,31,20.0,9.0
11.0,6.0,3.0,6.0,29.0,78.0,0.0,10.0,16.0,94.0,2018.0,3.0,31,21.0,9.0
11.0,6.0,3.0,5.0,22.0,79.0,0.0,10.0,17.0,94.0,2018.0,3.0,31,22.0,9.0
11.0,6.0,3.0,5.0,15.0,80.0,0.0,10.0,18.0,94.0,2018.0,3.0,31,23.0,8.0
17.0,7.0,4.0,4.0,8.0,81.0,0.0,10.0,19.0,94.0,2018.0,4.0,1,0.0,7.0
17.0,7.0,4.0,4.0,9.0,81.0,0.0,10.0,19.0,94.0,2018.0,4.0,1,1.0,7.0
17.0,7.0,4.0,5.0,10.0,82.0,0.0,10.0,18.0,94.0,2018.0,4.0,1,2.0,7.0
17.0,7.0,4.0,5.0,12.0,83.0,0.0,10.0,18.0,94.0,2018.0,4.0,1,3.0,8.0
17.0,7.0,4.0,5.0,11.0,81.0,0.0,10.0,19.0,94.0,2018.0,4.0,1,4.0,8.0
17.0,7.0,4.0,5.0,10.0,79.0,0.0,10.0,21.0,94.0,2018.0,4.0,1,5.0,8.0
17.0,7.0,4.0,5.0,10.0,78.0,0.0,10.0,22.0,94.0,2018.0,4.0,1,6.0,9.0
17.0,7.0,4.0,6.0,18.0,72.0,0.0,10.0,21.0,94.0,2018.0,4.0,1,7.0,11.0
17.0,7.0,4.0,6.0,27.0,66.0,0.0,10.0,21.0,94.0,2018.0,4.0,1,8.0,12.0
17.0,7.0,4.0,6.0,36.0,60.0,0.0,10.0,20.0,94.0,2018.0,4.0,1,9.0,14.0
17.0,7.0,4.0,6.0,40.0,57.0,0.0,10.0,18.0,94.0,2018.0,4.0,1,10.0,15.0
17.0,7.0,4.0,6.0,44.0,54.0,0.0,10.0,15.0,94.0,2018.0,4.0,1,11.0,16.0
17.0,7.0,4.0,6.0,48.0,51.0,0.0,10.0,12.0,94.0,2018.0,4.0,1,12.0,16.0
17.0,7.0,4.0,7.0,47.0,51.0,0.0,10.0,11.0,94.0,2018.0,4.0,1,13.0,17.0
17.0,7.0,4.0,7.0,46.0,51.0,0.0,10.0,11.0,94.0,2018.0,4.0,1,14.0,17.0
17.0,7.0,4.0,7.0,45.0,51.0,0.0,10.0,10.0,94.0,2018.0,4.0,1,15.0,17.0
17.0,7.0,4.0,7.0,48.0,55.0,0.0,10.0,9.0,94.0,2018.0,4.0,1,16.0,16.0
17.0,7.0,4.0,7.0,51.0,59.0,0.0,10.0,8.0,94.0,2018.0,4.0,1,17.0,15.0
17.0,7.0,4.0,7.0,54.0,63.0,0.0,10.0,6.0,94.0,2018.0,4.0,1,18.0,14.0
17.0,7.0,4.0,7.0,43.0,66.0,0.0,10.0,8.0,94.0,2018.0,4.0,1,19.0,13.0
17.0,7.0,4.0,7.0,33.0,68.0,0.0,10.0,10.0,94.0,2018.0,4.0,1,20.0,13.0
17.0,7.0,4.0,7.0,22.0,71.0,0.0,10.0,12.0,94.0,2018.0,4.0,1,21.0,12.0
17.0,7.0,4.0,8.0,19.0,72.0,0.0,10.0,14.0,94.0,2018.0,4.0,1,22.0,12.0
17.0,7.0,4.0,8.0,15.0,73.0,0.0,10.0,16.0,94.0,2018.0,4.0,1,23.0,12.0
18.0,7.0,4.0,6.0,44.0,90.0,0.0,10.0,10.0,94.0,2018.0,4.0,3,0.0,7.0
18.0,7.0,4.0,6.0,59.0,90.0,0.0,10.0,10.0,94.0,2018.0,4.0,3,1.0,7.0
18.0,7.0,4.0,6.0,74.0,90.0,0.0,10.0,11.0,94.0,2018.0,4.0,3,2.0,8.0
18.0,7.0,4.0,6.0,89.0,90.0,0.0,10.0,12.0,94.0,2018.0,4.0,3,3.0,8.0
18.0,7.0,4.0,7.0,91.0,90.0,0.0,10.0,11.0,94.0,2018.0,4.0,3,4.0,8.0
18.0,7.0,4.0,7.0,93.0,90.0,0.0,10.0,10.0,94.0,2018.0,4.0,3,5.0,8.0
18.0,7.0,4.0,7.0,94.0,90.0,0.0,10.0,9.0,94.0,2018.0,4.0,3,6.0,8.0
18.0,7.0,4.0,8.0,93.0,90.0,0.0,10.0,8.0,94.0,2018.0,4.0,3,7.0,9.0
18.0,7.0,4.0,8.0,92.0,89.0,0.0,10.0,7.0,94.0,2018.0,4.0,3,8.0,10.0
18.0,7.0,4.0,9.0,91.0,89.0,0.0,10.0,6.0,94.0,2018.0,4.0,3,9.0,10.0
18.0,7.0,4.0,10.0,83.0,86.0,0.0,10.0,7.0,94.0,2018.0,4.0,3,10.0,12.0
18.0,7.0,4.0,10.0,76.0,82.0,0.0,10.0,7.0,94.0,2018.0,4.0,3,11.0,13.0
18.0,7.0,4.0,11.0,68.0,79.0,0.0,10.0,8.0,94.0,2018.0,4.0,3,12.0,14.0
18.0,7.0,4.0,12.0,54.0,75.0,0.0,10.0,9.0,94.0,2018.0,4.0,3,13.0,16.0
18.0,7.0,4.0,12.0,39.0,72.0,0.0,10.0,11.0,94.0,2018.0,4.0,3,14.0,17.0
18.0,7.0,4.0,13.0,24.0,69.0,0.0,10.0,13.0,94.0,2018.0,4.0,3,15.0,18.0
18.0,7.0,4.0,13.0,41.0,74.0,0.0,10.0,11.0,94.0,2018.0,4.0,3,16.0,17.0
18.0,7.0,4.0,13.0,58.0,79.0,0.0,10.0,9.0,94.0,2018.0,4.0,3,17.0,16.0
18.0,7.0,4.0,13.0,76.0,85.0,0.0,10.0,6.0,94.0,2018.0,4.0,3,18.0,15.0
18.0,7.0,4.0,13.0,69.0,87.0,0.0,10.0,11.0,94.0,2018.0,4.0,3,19.0,15.0
18.0,7.0,4.0,14.0,61.0,89.0,0.0,10.0,16.0,94.0,2018.0,4.0,3,20.0,16.0
18.0,7.0,4.0,15.0,54.0,91.0,0.0,10.0,21.0,94.0,2018.0,4.0,3,21.0,16.0
18.0,7.0,4.0,14.0,69.0,89.0,0.0,10.0,23.0,94.0,2018.0,4.0,3,22.0,16.0
18.0,7.0,4.0,14.0,85.0,88.0,0.0,10.0,25.0,94.0,2018.0,4.0,3,23.0,16.0
11.0,5.0,3.0,-1.0,2.0,57.0,0.0,10.0,19.0,94.0,2018.0,4.0,5,0.0,7.0
11.0,5.0,3.0,-2.0,2.0,57.0,0.0,10.0,20.0,94.0,2018.0,4.0,5,1.0,6.0
11.0,5.0,3.0,-2.0,2.0,56.0,0.0,10.0,22.0,94.0,2018.0,4.0,5,2.0,6.0
11.0,5.0,3.0,-3.0,2.0,56.0,0.0,10.0,23.0,94.0,2018.0,4.0,5,3.0,5.0
11.0,5.0,3.0,-3.0,2.0,55.0,0.0,10.0,20.0,94.0,2018.0,4.0,5,4.0,5.0
11.0,5.0,3.0,-3.0,1.0,55.0,0.0,10.0,18.0,94.0,2018.0,4.0,5,5.0,5.0
11.0,5.0,3.0,-3.0,1.0,54.0,0.0,10.0,15.0,94.0,2018.0,4.0,5,6.0,5.0
11.0,5.0,3.0,-3.0,1.0,51.0,0.0,10.0,15.0,94.0,2018.0,4.0,5,7.0,6.0
11.0,5.0,3.0,-4.0,2.0,48.0,0.0,10.0,15.0,94.0,2018.0,4.0,5,8.0,7.0
11.0,5.0,3.0,-4.0,2.0,45.0,0.0,10.0,15.0,94.0,2018.0,4.0,5,9.0,7.0
11.0,5.0,3.0,-2.0,2.0,45.0,0.0,10.0,11.0,94.0,2018.0,4.0,5,10.0,8.0
11.0,5.0,3.0,-1.0,2.0,45.0,0.0,10.0,8.0,94.0,2018.0,4.0,5,11.0,9.0
11.0,5.0,3.0,1.0,2.0,44.0,0.0,10.0,5.0,94.0,2018.0,4.0,5,12.0,10.0
11.0,5.0,3.0,1.0,4.0,45.0,0.0,10.0,5.0,94.0,2018.0,4.0,5,13.0,10.0
11.0,5.0,3.0,1.0,5.0,46.0,0.0,10.0,4.0,94.0,2018.0,4.0,5,14.0,11.0
11.0,5.0,3.0,1.0,7.0,47.0,0.0,10.0,4.0,94.0,2018.0,4.0,5,15.0,11.0
11.0,5.0,3.0,1.0,6.0,52.0,0.0,10.0,9.0,94.0,2018.0,4.0,5,16.0,10.0
11.0,5.0,3.0,1.0,6.0,56.0,0.0,10.0,13.0,94.0,2018.0,4.0,5,17.0,9.0
11.0,5.0,3.0,0.0,6.0,60.0,0.0,10.0,17.0,94.0,2018.0,4.0,5,18.0,8.0
11.0,5.0,3.0,1.0,6.0,63.0,0.0,10.0,18.0,94.0,2018.0,4.0,5,19.0,7.0
11.0,5.0,3.0,1.0,7.0,66.0,0.0,10.0,18.0,94.0,2018.0,4.0,5,20.0,7.0
11.0,5.0,3.0,1.0,8.0,69.0,0.0,10.0,19.0,94.0,2018.0,4.0,5,21.0,6.0
11.0,5.0,3.0,2.0,6.0,71.0,0.0,10.0,19.0,94.0,2018.0,4.0,5,22.0,7.0
11.0,5.0,3.0,2.0,5.0,72.0,0.0,10.0,20.0,94.0,2018.0,4.0,5,23.0,7.0
18.0,7.0,4.0,3.0,3.0,74.0,0.0,10.0,20.0,94.0,2018.0,4.0,6,0.0,7.0
18.0,7.0,4.0,3.0,5.0,74.0,0.0,10.0,20.0,94.0,2018.0,4.0,6,1.0,7.0
18.0,7.0,4.0,3.0,7.0,74.0,0.0,10.0,20.0,94.0,2018.0,4.0,6,2.0,7.0
18.0,7.0,4.0,3.0,9.0,74.0,0.0,10.0,19.0,94.0,2018.0,4.0,6,3.0,7.0
18.0,7.0,4.0,3.0,8.0,73.0,0.0,10.0,20.0,94.0,2018.0,4.0,6,4.0,8.0
18.0,7.0,4.0,4.0,7.0,73.0,0.0,10.0,21.0,94.0,2018.0,4.0,6,5.0,9.0
18.0,7.0,4.0,5.0,6.0,72.0,0.0,10.0,22.0,94.0,2018.0,4.0,6,6.0,9.0
18.0,7.0,4.0,4.0,6.0,65.0,0.0,10.0,24.0,94.0,2018.0,4.0,6,7.0,11.0
18.0,7.0,4.0,4.0,7.0,57.0,0.0,10.0,26.0,94.0,2018.0,4.0,6,8.0,13.0
18.0,7.0,4.0,4.0,7.0,50.0,0.0,10.0,28.0,94.0,2018.0,4.0,6,9.0,14.0
18.0,7.0,4.0,4.0,9.0,47.0,0.0,10.0,27.0,94.0,2018.0,4.0,6,10.0,16.0
18.0,7.0,4.0,4.0,11.0,43.0,0.0,10.0,27.0,94.0,2018.0,4.0,6,11.0,17.0
18.0,7.0,4.0,4.0,13.0,40.0,0.0,10.0,26.0,94.0,2018.0,4.0,6,12.0,18.0
18.0,7.0,4.0,4.0,11.0,40.0,0.0,10.0,26.0,94.0,2018.0,4.0,6,13.0,18.0
18.0,7.0,4.0,4.0,9.0,40.0,0.0,10.0,27.0,94.0,2018.0,4.0,6,14.0,18.0
18.0,7.0,4.0,4.0,7.0,40.0,0.0,10.0,27.0,94.0,2018.0,4.0,6,15.0,18.0
18.0,7.0,4.0,5.0,9.0,45.0,0.0,10.0,24.0,94.0,2018.0,4.0,6,16.0,17.0
18.0,7.0,4.0,6.0,10.0,50.0,0.0,10.0,21.0,94.0,2018.0,4.0,6,17.0,16.0
18.0,7.0,4.0,6.0,12.0,55.0,0.0,10.0,19.0,94.0,2018.0,4.0,6,18.0,15.0
18.0,7.0,4.0,7.0,16.0,59.0,0.0,10.0,22.0,94.0,2018.0,4.0,6,19.0,15.0
18.0,7.0,4.0,8.0,19.0,62.0,0.0,10.0,25.0,94.0,2018.0,4.0,6,20.0,15.0
18.0,7.0,4.0,8.0,23.0,66.0,0.0,10.0,28.0,94.0,2018.0,4.0,6,21.0,15.0
18.0,7.0,4.0,9.0,36.0,69.0,0.0,10.0,26.0,94.0,2018.0,4.0,6,22.0,14.0
18.0,7.0,4.0,9.0,49.0,72.0,0.0,10.0,24.0,94.0,2018.0,4.0,6,23.0,14.0
11.0,3.0,3.0,9.0,62.0,75.0,0.0,10.0,21.0,94.0,2018.0,4.0,7,0.0,14.0
11.0,3.0,3.0,10.0,75.0,81.0,0.0,10.0,20.0,94.0,2018.0,4.0,7,1.0,13.0
11.0,3.0,3.0,10.0,87.0,86.0,0.0,10.0,18.0,94.0,2018.0,4.0,7,2.0,13.0
11.0,3.0,3.0,10.0,100.0,91.0,0.0,10.0,16.0,94.0,2018.0,4.0,7,3.0,12.0
11.0,3.0,3.0,10.0,100.0,92.0,0.0,10.0,15.0,94.0,2018.0,4.0,7,4.0,12.0
11.0,3.0,3.0,10.0,100.0,93.0,0.0,10.0,13.0,94.0,2018.0,4.0,7,5.0,11.0
11.0,3.0,3.0,10.0,100.0,93.0,0.0,10.0,11.0,94.0,2018.0,4.0,7,6.0,11.0
11.0,3.0,3.0,9.0,100.0,92.0,0.0,7.0,16.0,94.0,2018.0,4.0,7,7.0,10.0
11.0,3.0,3.0,9.0,100.0,90.0,0.2,5.0,20.0,94.0,2018.0,4.0,7,8.0,10.0
11.0,3.0,3.0,8.0,100.0,88.0,0.3,2.0,24.0,94.0,2018.0,4.0,7,9.0,10.0
11.0,3.0,3.0,7.0,100.0,88.0,0.1,5.0,25.0,94.0,2018.0,4.0,7,10.0,9.0
11.0,3.0,3.0,5.0,100.0,87.0,0.0,7.0,25.0,94.0,2018.0,4.0,7,11.0,8.0
11.0,3.0,3.0,4.0,100.0,86.0,0.0,10.0,26.0,94.0,2018.0,4.0,7,12.0,7.0
11.0,3.0,3.0,4.0,100.0,86.0,0.0,10.0,27.0,94.0,2018.0,4.0,7,13.0,6.0
11.0,3.0,3.0,4.0,100.0,86.0,0.5,9.0,27.0,94.0,2018.0,4.0,7,14.0,6.0
11.0,3.0,3.0,3.0,100.0,86.0,0.7,9.0,28.0,94.0,2018.0,4.0,7,15.0,5.0
11.0,3.0,3.0,3.0,100.0,85.0,0.3,9.0,27.0,94.0,2018.0,4.0,7,16.0,5.0
11.0,3.0,3.0,2.0,100.0,84.0,0.0,10.0,27.0,94.0,2018.0,4.0,7,17.0,5.0
11.0,3.0,3.0,2.0,100.0,84.0,0.0,10.0,27.0,94.0,2018.0,4.0,7,18.0,4.0
11.0,3.0,3.0,2.0,100.0,85.0,0.0,10.0,28.0,94.0,2018.0,4.0,7,19.0,4.0
11.0,3.0,3.0,1.0,100.0,86.0,0.7,9.0,29.0,94.0,2018.0,4.0,7,20.0,4.0
11.0,3.0,3.0,1.0,100.0,87.0,0.9,9.0,30.0,94.0,2018.0,4.0,7,21.0,3.0
11.0,3.0,3.0,1.0,100.0,87.0,0.5,9.0,30.0,94.0,2018.0,4.0,7,22.0,3.0
11.0,3.0,3.0,1.0,100.0,87.0,0.0,10.0,30.0,94.0,2018.0,4.0,7,23.0,3.0
8.0,3.0,2.0,1.0,100.0,87.0,0.0,10.0,31.0,94.0,2018.0,4.0,8,0.0,3.0
8.0,3.0,2.0,0.0,82.0,82.0,0.0,8.0,30.0,94.0,2018.0,4.0,8,1.0,3.0
8.0,3.0,2.0,-1.0,63.0,77.0,0.4,7.0,29.0,94.0,2018.0,4.0,8,2.0,3.0
8.0,3.0,2.0,-1.0,45.0,73.0,0.5,5.0,29.0,94.0,2018.0,4.0,8,3.0,3.0
8.0,3.0,2.0,-1.0,33.0,72.0,0.2,7.0,28.0,94.0,2018.0,4.0,8,4.0,3.0
8.0,3.0,2.0,-1.0,20.0,72.0,0.0,8.0,28.0,94.0,2018.0,4.0,8,5.0,3.0
8.0,3.0,2.0,-1.0,8.0,72.0,0.0,10.0,27.0,94.0,2018.0,4.0,8,6.0,4.0
8.0,3.0,2.0,-1.0,7.0,69.0,0.0,10.0,27.0,94.0,2018.0,4.0,8,7.0,4.0
8.0,3.0,2.0,-1.0,6.0,65.0,0.0,10.0,27.0,94.0,2018.0,4.0,8,8.0,5.0
8.0,3.0,2.0,-2.0,6.0,61.0,0.0,10.0,27.0,94.0,2018.0,4.0,8,9.0,5.0
8.0,3.0,2.0,-2.0,8.0,58.0,0.0,10.0,22.0,94.0,2018.0,4.0,8,10.0,6.0
8.0,3.0,2.0,-2.0,11.0,55.0,0.0,10.0,17.0,94.0,2018.0,4.0,8,11.0,7.0
8.0,3.0,2.0,-2.0,14.0,52.0,0.0,10.0,11.0,94.0,2018.0,4.0,8,12.0,7.0
8.0,3.0,2.0,-1.0,11.0,52.0,0.0,10.0,10.0,94.0,2018.0,4.0,8,13.0,8.0
8.0,3.0,2.0,-1.0,8.0,51.0,0.0,10.0,10.0,94.0,2018.0,4.0,8,14.0,8.0
8.0,3.0,2.0,-1.0,5.0,51.0,0.0,10.0,9.0,94.0,2018.0,4.0,8,15.0,8.0
8.0,3.0,2.0,-0.0,6.0,54.0,0.0,10.0,7.0,94.0,2018.0,4.0,8,16.0,7.0
8.0,3.0,2.0,-0.0,6.0,57.0,0.0,10.0,6.0,94.0,2018.0,4.0,8,17.0,7.0
8.0,3.0,2.0,0.0,7.0,60.0,0.0,10.0,4.0,94.0,2018.0,4.0,8,18.0,6.0
8.0,3.0,2.0,-0.0,14.0,61.0,0.0,10.0,6.0,94.0,2018.0,4.0,8,19.0,6.0
8.0,3.0,2.0,-1.0,21.0,61.0,0.0,10.0,9.0,94.0,2018.0,4.0,8,20.0,6.0
8.0,3.0,2.0,-1.0,28.0,62.0,0.0,10.0,11.0,94.0,2018.0,4.0,8,21.0,6.0
8.0,3.0,2.0,-1.0,49.0,65.0,0.0,10.0,12.0,94.0,2018.0,4.0,8,22.0,5.0
8.0,3.0,2.0,-0.0,70.0,69.0,0.0,10.0,13.0,94.0,2018.0,4.0,8,23.0,5.0
9.0,5.0,2.0,0.0,90.0,72.0,0.0,10.0,14.0,94.0,2018.0,4.0,9,0.0,5.0
9.0,5.0,2.0,0.0,88.0,71.0,0.0,10.0,11.0,94.0,2018.0,4.0,9,1.0,5.0
9.0,5.0,2.0,1.0,85.0,70.0,0.0,10.0,8.0,94.0,2018.0,4.0,9,2.0,5.0
9.0,5.0,2.0,1.0,82.0,70.0,0.0,10.0,5.0,94.0,2018.0,4.0,9,3.0,5.0
9.0,5.0,2.0,1.0,81.0,72.0,0.0,10.0,7.0,94.0,2018.0,4.0,9,4.0,6.0
9.0,5.0,2.0,2.0,81.0,73.0,0.0,10.0,10.0,94.0,2018.0,4.0,9,5.0,6.0
9.0,5.0,2.0,2.0,80.0,75.0,0.0,10.0,13.0,94.0,2018.0,4.0,9,6.0,6.0
9.0,5.0,2.0,2.0,67.0,72.0,0.0,10.0,15.0,94.0,2018.0,4.0,9,7.0,7.0
9.0,5.0,2.0,2.0,54.0,68.0,0.0,10.0,17.0,94.0,2018.0,4.0,9,8.0,7.0
9.0,5.0,2.0,1.0,41.0,65.0,0.0,10.0,19.0,94.0,2018.0,4.0,9,9.0,7.0
9.0,5.0,2.0,2.0,46.0,64.0,0.0,10.0,18.0,94.0,2018.0,4.0,9,10.0,8.0
9.0,5.0,2.0,2.0,50.0,64.0,0.0,10.0,17.0,94.0,2018.0,4.0,9,11.0,8.0
9.0,5.0,2.0,2.0,54.0,63.0,0.0,10.0,17.0,94.0,2018.0,4.0,9,12.0,9.0
9.0,5.0,2.0,3.0,54.0,66.0,0.0,10.0,16.0,94.0,2018.0,4.0,9,13.0,9.0
9.0,5.0,2.0,3.0,54.0,70.0,0.0,10.0,16.0,94.0,2018.0,4.0,9,14.0,9.0
9.0,5.0,2.0,4.0,54.0,73.0,0.0,10.0,15.0,94.0,2018.0,4.0,9,15.0,9.0
9.0,5.0,2.0,4.0,69.0,77.0,0.0,10.0,14.0,94.0,2018.0,4.0,9,16.0,8.0
9.0,5.0,2.0,5.0,85.0,80.0,0.0,10.0,13.0,94.0,2018.0,4.0,9,17.0,8.0
9.0,5.0,2.0,5.0,100.0,84.0,0.0,10.0,12.0,94.0,2018.0,4.0,9,18.0,7.0
9.0,5.0,2.0,5.0,93.0,85.0,0.0,10.0,11.0,94.0,2018.0,4.0,9,19.0,7.0
9.0,5.0,2.0,5.0,87.0,86.0,0.0,10.0,11.0,94.0,2018.0,4.0,9,20.0,7.0
9.0,5.0,2.0,5.0,80.0,86.0,0.0,10.0,11.0,94.0,2018.0,4.0,9,21.0,7.0
9.0,5.0,2.0,5.0,70.0,88.0,0.0,8.0,10.0,94.0,2018.0,4.0,9,22.0,7.0
9.0,5.0,2.0,6.0,60.0,89.0,0.1,7.0,9.0,94.0,2018.0,4.0,9,23.0,7.0
10.0,6.0,2.0,6.0,50.0,90.0,0.1,5.0,8.0,94.0,2018.0,4.0,10,0.0,7.0
10.0,6.0,2.0,5.0,49.0,89.0,0.0,7.0,11.0,94.0,2018.0,4.0,10,1.0,7.0
10.0,6.0,2.0,5.0,49.0,88.0,0.0,8.0,14.0,94.0,2018.0,4.0,10,2.0,7.0
10.0,6.0,2.0,4.0,48.0,87.0,0.0,10.0,17.0,94.0,2018.0,4.0,10,3.0,6.0
10.0,6.0,2.0,4.0,50.0,86.0,0.0,10.0,17.0,94.0,2018.0,4.0,10,4.0,6.0
10.0,6.0,2.0,4.0,53.0,85.0,0.0,10.0,17.0,94.0,2018.0,4.0,10,5.0,6.0
10.0,6.0,2.0,4.0,55.0,84.0,0.0,10.0,16.0,94.0,2018.0,4.0,10,6.0,6.0
10.0,6.0,2.0,3.0,53.0,80.0,0.0,10.0,17.0,94.0,2018.0,4.0,10,7.0,7.0
10.0,6.0,2.0,3.0,50.0,77.0,0.0,10.0,18.0,94.0,2018.0,4.0,10,8.0,7.0
10.0,6.0,2.0,3.0,48.0,73.0,0.0,10.0,19.0,94.0,2018.0,4.0,10,9.0,8.0
10.0,6.0,2.0,3.0,33.0,67.0,0.0,10.0,17.0,94.0,2018.0,4.0,10,10.0,9.0
10.0,6.0,2.0,2.0,19.0,62.0,0.0,10.0,15.0,94.0,2018.0,4.0,10,11.0,10.0
10.0,6.0,2.0,2.0,4.0,56.0,0.0,10.0,13.0,94.0,2018.0,4.0,10,12.0,10.0
10.0,6.0,2.0,2.0,9.0,56.0,0.0,10.0,14.0,94.0,2018.0,4.0,10,13.0,10.0
10.0,6.0,2.0,2.0,14.0,56.0,0.0,10.0,15.0,94.0,2018.0,4.0,10,14.0,10.0
10.0,6.0,2.0,2.0,19.0,56.0,0.0,10.0,16.0,94.0,2018.0,4.0,10,15.0,10.0
10.0,6.0,2.0,1.0,16.0,58.0,0.0,10.0,14.0,94.0,2018.0,4.0,10,16.0,9.0
10.0,6.0,2.0,1.0,12.0,59.0,0.0,10.0,11.0,94.0,2018.0,4.0,10,17.0,8.0
10.0,6.0,2.0,0.0,9.0,61.0,0.0,10.0,8.0,94.0,2018.0,4.0,10,18.0,7.0
10.0,6.0,2.0,1.0,13.0,64.0,0.0,10.0,9.0,94.0,2018.0,4.0,10,19.0,7.0
