maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
3.0,-0.0,1.0,-3.0,50.0,82.0,0.1,2.0,15.0,72.0,2018.0,1.0,2,0.0,-0.0
3.0,-0.0,1.0,-3.0,52.0,80.0,0.0,3.0,13.0,72.0,2018.0,1.0,2,1.0,0.0
3.0,-0.0,1.0,-2.0,54.0,78.0,0.1,4.0,10.0,72.0,2018.0,1.0,2,2.0,1.0
3.0,-0.0,1.0,-2.0,56.0,76.0,0.1,5.0,8.0,72.0,2018.0,1.0,2,3.0,2.0
3.0,-0.0,1.0,-2.0,68.0,76.0,0.1,7.0,10.0,72.0,2018.0,1.0,2,4.0,2.0
3.0,-0.0,1.0,-2.0,81.0,76.0,0.0,8.0,12.0,72.0,2018.0,1.0,2,5.0,2.0
3.0,-0.0,1.0,-2.0,94.0,76.0,0.0,10.0,14.0,72.0,2018.0,1.0,2,6.0,2.0
3.0,-0.0,1.0,-1.0,72.0,75.0,0.0,10.0,17.0,72.0,2018.0,1.0,2,7.0,3.0
3.0,-0.0,1.0,-1.0,50.0,74.0,0.1,9.0,20.0,72.0,2018.0,1.0,2,8.0,3.0
3.0,-0.0,1.0,-1.0,29.0,74.0,0.1,9.0,23.0,72.0,2018.0,1.0,2,9.0,3.0
3.0,-0.0,1.0,-1.0,25.0,75.0,0.0,9.0,20.0,72.0,2018.0,1.0,2,10.0,3.0
3.0,-0.0,1.0,-1.0,21.0,76.0,0.0,10.0,16.0,72.0,2018.0,1.0,2,11.0,2.0
3.0,-0.0,1.0,-2.0,17.0,78.0,0.0,10.0,13.0,72.0,2018.0,1.0,2,12.0,2.0
3.0,-0.0,1.0,-2.0,36.0,79.0,0.0,10.0,15.0,72.0,2018.0,1.0,2,13.0,2.0
3.0,-0.0,1.0,-1.0,54.0,80.0,0.0,10.0,17.0,72.0,2018.0,1.0,2,14.0,2.0
3.0,-0.0,1.0,-1.0,72.0,81.0,0.0,10.0,18.0,72.0,2018.0,1.0,2,15.0,2.0
3.0,-0.0,1.0,-1.0,70.0,81.0,0.0,10.0,15.0,72.0,2018.0,1.0,2,16.0,2.0
3.0,-0.0,1.0,-1.0,69.0,81.0,0.0,10.0,12.0,72.0,2018.0,1.0,2,17.0,2.0
3.0,-0.0,1.0,-1.0,68.0,81.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,18.0,2.0
3.0,-0.0,1.0,-2.0,68.0,81.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,19.0,1.0
3.0,-0.0,1.0,-2.0,69.0,81.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,20.0,1.0
3.0,-0.0,1.0,-2.0,69.0,82.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,21.0,1.0
3.0,-0.0,1.0,-2.0,71.0,82.0,0.0,10.0,8.0,72.0,2018.0,1.0,2,22.0,1.0
3.0,-0.0,1.0,-2.0,73.0,83.0,0.0,10.0,7.0,72.0,2018.0,1.0,2,23.0,0.0
-0.0,-2.0,1.0,-2.0,75.0,84.0,0.0,10.0,6.0,72.0,2018.0,1.0,3,0.0,0.0
-0.0,-2.0,1.0,-2.0,78.0,84.0,0.0,10.0,5.0,72.0,2018.0,1.0,3,1.0,0.0
-0.0,-2.0,1.0,-3.0,81.0,84.0,0.0,10.0,5.0,72.0,2018.0,1.0,3,2.0,-0.0
-0.0,-2.0,1.0,-3.0,84.0,84.0,0.0,10.0,4.0,72.0,2018.0,1.0,3,3.0,-0.0
-0.0,-2.0,1.0,-3.0,89.0,85.0,0.0,10.0,4.0,72.0,2018.0,1.0,3,4.0,-1.0
-0.0,-2.0,1.0,-3.0,95.0,86.0,0.1,9.0,5.0,72.0,2018.0,1.0,3,5.0,-1.0
-0.0,-2.0,1.0,-3.0,100.0,87.0,0.1,9.0,5.0,72.0,2018.0,1.0,3,6.0,-1.0
-0.0,-2.0,1.0,-3.0,90.0,88.0,0.0,9.0,5.0,72.0,2018.0,1.0,3,7.0,-1.0
-0.0,-2.0,1.0,-3.0,80.0,89.0,0.0,10.0,4.0,72.0,2018.0,1.0,3,8.0,-2.0
-0.0,-2.0,1.0,-3.0,70.0,90.0,0.0,10.0,3.0,72.0,2018.0,1.0,3,9.0,-2.0
-0.0,-2.0,1.0,-3.0,80.0,92.0,0.0,7.0,4.0,72.0,2018.0,1.0,3,10.0,-2.0
-0.0,-2.0,1.0,-3.0,90.0,93.0,0.2,5.0,4.0,72.0,2018.0,1.0,3,11.0,-2.0
-0.0,-2.0,1.0,-2.0,100.0,94.0,0.3,2.0,4.0,72.0,2018.0,1.0,3,12.0,-2.0
-0.0,-2.0,1.0,-2.0,100.0,95.0,0.1,2.0,6.0,72.0,2018.0,1.0,3,13.0,-1.0
-0.0,-2.0,1.0,-2.0,100.0,95.0,0.4,2.0,7.0,72.0,2018.0,1.0,3,14.0,-1.0
-0.0,-2.0,1.0,-2.0,100.0,95.0,0.5,2.0,8.0,72.0,2018.0,1.0,3,15.0,-1.0
-0.0,-2.0,1.0,-2.0,96.0,94.0,0.2,2.0,8.0,72.0,2018.0,1.0,3,16.0,-1.0
-0.0,-2.0,1.0,-1.0,93.0,93.0,0.4,2.0,8.0,72.0,2018.0,1.0,3,17.0,-1.0
-0.0,-2.0,1.0,-1.0,89.0,93.0,0.6,2.0,8.0,72.0,2018.0,1.0,3,18.0,-0.0
-0.0,-2.0,1.0,-2.0,81.0,92.0,0.3,3.0,9.0,72.0,2018.0,1.0,3,19.0,-1.0
-0.0,-2.0,1.0,-3.0,73.0,90.0,0.5,4.0,11.0,72.0,2018.0,1.0,3,20.0,-1.0
-0.0,-2.0,1.0,-3.0,65.0,89.0,0.7,5.0,13.0,72.0,2018.0,1.0,3,21.0,-2.0
-0.0,-2.0,1.0,-4.0,61.0,88.0,0.3,6.0,11.0,72.0,2018.0,1.0,3,22.0,-2.0
-0.0,-2.0,1.0,-4.0,58.0,87.0,0.1,6.0,10.0,72.0,2018.0,1.0,3,23.0,-2.0
-4.0,-7.0,1.0,-4.0,54.0,85.0,0.1,7.0,8.0,72.0,2018.0,1.0,4,0.0,-2.0
-4.0,-7.0,1.0,-5.0,45.0,85.0,0.0,8.0,8.0,72.0,2018.0,1.0,4,1.0,-3.0
-4.0,-7.0,1.0,-5.0,37.0,85.0,0.0,9.0,8.0,72.0,2018.0,1.0,4,2.0,-3.0
-4.0,-7.0,1.0,-5.0,28.0,85.0,0.0,10.0,8.0,72.0,2018.0,1.0,4,3.0,-3.0
-4.0,-7.0,1.0,-6.0,27.0,85.0,0.0,10.0,7.0,72.0,2018.0,1.0,4,4.0,-4.0
-4.0,-7.0,1.0,-6.0,25.0,85.0,0.0,10.0,5.0,72.0,2018.0,1.0,4,5.0,-4.0
-4.0,-7.0,1.0,-7.0,23.0,85.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,6.0,-4.0
-4.0,-7.0,1.0,-7.0,20.0,86.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,7.0,-5.0
-4.0,-7.0,1.0,-7.0,16.0,87.0,0.0,10.0,2.0,72.0,2018.0,1.0,4,8.0,-5.0
-4.0,-7.0,1.0,-8.0,12.0,87.0,0.0,10.0,1.0,72.0,2018.0,1.0,4,9.0,-6.0
-4.0,-7.0,1.0,-7.0,14.0,88.0,0.0,10.0,1.0,72.0,2018.0,1.0,4,10.0,-6.0
-4.0,-7.0,1.0,-7.0,16.0,89.0,0.0,10.0,2.0,72.0,2018.0,1.0,4,11.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,90.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,12.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,90.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,13.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,91.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,14.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,91.0,0.0,10.0,5.0,72.0,2018.0,1.0,4,15.0,-6.0
-4.0,-7.0,1.0,-7.0,12.0,91.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,16.0,-6.0
-4.0,-7.0,1.0,-7.0,6.0,90.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,17.0,-5.0
-4.0,-7.0,1.0,-6.0,0.0,90.0,0.0,10.0,2.0,72.0,2018.0,1.0,4,18.0,-5.0
-4.0,-7.0,1.0,-7.0,0.0,89.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,19.0,-6.0
-4.0,-7.0,1.0,-8.0,0.0,88.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,20.0,-6.0
-4.0,-7.0,1.0,-8.0,0.0,88.0,0.0,10.0,5.0,72.0,2018.0,1.0,4,21.0,-7.0
-4.0,-7.0,1.0,-9.0,0.0,86.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,22.0,-7.0
-4.0,-7.0,1.0,-9.0,0.0,85.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,23.0,-7.0
-5.0,-7.0,2.0,-11.0,22.0,72.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,0.0,-7.0
-5.0,-7.0,2.0,-10.0,30.0,74.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,1.0,-6.0
-5.0,-7.0,2.0,-10.0,37.0,75.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,2.0,-6.0
-5.0,-7.0,2.0,-9.0,45.0,77.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,3.0,-6.0
-5.0,-7.0,2.0,-9.0,47.0,77.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,4.0,-6.0
-5.0,-7.0,2.0,-9.0,48.0,77.0,0.0,10.0,8.0,72.0,2018.0,1.0,6,5.0,-6.0
-5.0,-7.0,2.0,-9.0,50.0,77.0,0.0,10.0,9.0,72.0,2018.0,1.0,6,6.0,-6.0
-5.0,-7.0,2.0,-9.0,49.0,77.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,7.0,-6.0
-5.0,-7.0,2.0,-9.0,48.0,77.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,8.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,77.0,0.0,10.0,4.0,72.0,2018.0,1.0,6,9.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,78.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,10.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,78.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,11.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,79.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,12.0,-5.0
-5.0,-7.0,2.0,-8.0,46.0,80.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,13.0,-5.0
-5.0,-7.0,2.0,-8.0,45.0,80.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,14.0,-5.0
-5.0,-7.0,2.0,-7.0,44.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,15.0,-5.0
-5.0,-7.0,2.0,-8.0,46.0,82.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,16.0,-5.0
-5.0,-7.0,2.0,-8.0,49.0,82.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,17.0,-6.0
-5.0,-7.0,2.0,-8.0,51.0,83.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,18.0,-6.0
-5.0,-7.0,2.0,-8.0,57.0,82.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,19.0,-6.0
-5.0,-7.0,2.0,-8.0,64.0,82.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,20.0,-6.0
-5.0,-7.0,2.0,-8.0,70.0,82.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,21.0,-6.0
-5.0,-7.0,2.0,-9.0,63.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,22.0,-6.0
-5.0,-7.0,2.0,-9.0,56.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,23.0,-6.0
-7.0,-8.0,2.0,-9.0,49.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,7,0.0,-7.0
-7.0,-8.0,2.0,-9.0,43.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,7,1.0,-7.0
-7.0,-8.0,2.0,-9.0,37.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,2.0,-7.0
-7.0,-8.0,2.0,-10.0,32.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,3.0,-7.0
-7.0,-8.0,2.0,-10.0,27.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,4.0,-7.0
-7.0,-8.0,2.0,-10.0,23.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,5.0,-7.0
-7.0,-8.0,2.0,-10.0,19.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,6.0,-7.0
-7.0,-8.0,2.0,-10.0,20.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,7.0,-7.0
-7.0,-8.0,2.0,-10.0,21.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,8.0,-7.0
-7.0,-8.0,2.0,-10.0,22.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,9.0,-7.0
-7.0,-8.0,2.0,-10.0,22.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,10.0,-7.0
-7.0,-8.0,2.0,-10.0,23.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,11.0,-7.0
-7.0,-8.0,2.0,-10.0,23.0,81.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,12.0,-7.0
-7.0,-8.0,2.0,-10.0,21.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,13.0,-7.0
-7.0,-8.0,2.0,-10.0,19.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,14.0,-7.0
-7.0,-8.0,2.0,-9.0,17.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,15.0,-7.0
-7.0,-8.0,2.0,-10.0,19.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,16.0,-7.0
-7.0,-8.0,2.0,-10.0,20.0,82.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,17.0,-7.0
-7.0,-8.0,2.0,-10.0,21.0,83.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,18.0,-8.0
-7.0,-8.0,2.0,-10.0,19.0,82.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,19.0,-8.0
-7.0,-8.0,2.0,-10.0,17.0,82.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,20.0,-8.0
-7.0,-8.0,2.0,-10.0,15.0,82.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,21.0,-8.0
-7.0,-8.0,2.0,-11.0,15.0,81.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,22.0,-8.0
-7.0,-8.0,2.0,-11.0,14.0,80.0,0.0,10.0,2.0,72.0,2018.0,1.0,7,23.0,-8.0
-7.0,-9.0,2.0,-11.0,14.0,79.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,0.0,-8.0
-7.0,-9.0,2.0,-11.0,12.0,79.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,1.0,-8.0
-7.0,-9.0,2.0,-11.0,10.0,79.0,0.0,10.0,1.0,72.0,2018.0,1.0,8,2.0,-8.0
-7.0,-9.0,2.0,-12.0,8.0,79.0,0.0,10.0,1.0,72.0,2018.0,1.0,8,3.0,-9.0
-7.0,-9.0,2.0,-12.0,7.0,78.0,0.0,10.0,1.0,72.0,2018.0,1.0,8,4.0,-9.0
-7.0,-9.0,2.0,-12.0,6.0,78.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,5.0,-9.0
-7.0,-9.0,2.0,-12.0,6.0,77.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,6.0,-9.0
-7.0,-9.0,2.0,-12.0,5.0,77.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,7.0,-9.0
-7.0,-9.0,2.0,-12.0,4.0,77.0,0.0,10.0,1.0,72.0,2018.0,1.0,8,8.0,-9.0
-7.0,-9.0,2.0,-12.0,4.0,77.0,0.0,10.0,1.0,72.0,2018.0,1.0,8,9.0,-9.0
-7.0,-9.0,2.0,-12.0,3.0,77.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,10.0,-9.0
-7.0,-9.0,2.0,-12.0,2.0,77.0,0.0,10.0,2.0,72.0,2018.0,1.0,8,11.0,-9.0
-7.0,-9.0,2.0,-12.0,1.0,77.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,12.0,-8.0
-7.0,-9.0,2.0,-11.0,1.0,76.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,13.0,-8.0
-7.0,-9.0,2.0,-11.0,2.0,76.0,0.0,10.0,4.0,72.0,2018.0,1.0,8,14.0,-8.0
-7.0,-9.0,2.0,-11.0,2.0,76.0,0.0,10.0,4.0,72.0,2018.0,1.0,8,15.0,-7.0
-7.0,-9.0,2.0,-11.0,2.0,77.0,0.0,10.0,4.0,72.0,2018.0,1.0,8,16.0,-8.0
-7.0,-9.0,2.0,-11.0,2.0,78.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,17.0,-8.0
-7.0,-9.0,2.0,-12.0,3.0,80.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,18.0,-9.0
-7.0,-9.0,2.0,-12.0,3.0,80.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,19.0,-9.0
-7.0,-9.0,2.0,-12.0,3.0,80.0,0.0,10.0,4.0,72.0,2018.0,1.0,8,20.0,-9.0
-7.0,-9.0,2.0,-12.0,3.0,80.0,0.0,10.0,4.0,72.0,2018.0,1.0,8,21.0,-9.0
-7.0,-9.0,2.0,-12.0,2.0,80.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,22.0,-9.0
-7.0,-9.0,2.0,-12.0,1.0,80.0,0.0,10.0,3.0,72.0,2018.0,1.0,8,23.0,-9.0
-11.0,-13.0,2.0,-12.0,0.0,80.0,0.0,10.0,3.0,72.0,2018.0,1.0,9,0.0,-9.0
-11.0,-13.0,2.0,-12.0,0.0,79.0,0.0,10.0,4.0,72.0,2018.0,1.0,9,1.0,-9.0
-11.0,-13.0,2.0,-13.0,0.0,78.0,0.0,10.0,6.0,72.0,2018.0,1.0,9,2.0,-9.0
-11.0,-13.0,2.0,-13.0,0.0,77.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,3.0,-10.0
-11.0,-13.0,2.0,-13.0,0.0,77.0,0.0,10.0,7.0,72.0,2018.0,1.0,9,4.0,-10.0
-11.0,-13.0,2.0,-14.0,0.0,76.0,0.0,10.0,6.0,72.0,2018.0,1.0,9,5.0,-11.0
-11.0,-13.0,2.0,-14.0,0.0,76.0,0.0,10.0,4.0,72.0,2018.0,1.0,9,6.0,-11.0
-11.0,-13.0,2.0,-15.0,0.0,76.0,0.0,10.0,6.0,72.0,2018.0,1.0,9,7.0,-11.0
-11.0,-13.0,2.0,-15.0,0.0,75.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,8.0,-12.0
-11.0,-13.0,2.0,-16.0,0.0,75.0,0.0,10.0,10.0,72.0,2018.0,1.0,9,9.0,-12.0
-11.0,-13.0,2.0,-15.0,0.0,75.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,10.0,-12.0
-11.0,-13.0,2.0,-15.0,0.0,74.0,0.0,10.0,7.0,72.0,2018.0,1.0,9,11.0,-12.0
-11.0,-13.0,2.0,-15.0,0.0,74.0,0.0,10.0,5.0,72.0,2018.0,1.0,9,12.0,-12.0
-11.0,-13.0,2.0,-15.0,1.0,74.0,0.0,10.0,7.0,72.0,2018.0,1.0,9,13.0,-11.0
-11.0,-13.0,2.0,-15.0,1.0,74.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,14.0,-11.0
-11.0,-13.0,2.0,-15.0,2.0,73.0,0.0,10.0,10.0,72.0,2018.0,1.0,9,15.0,-11.0
-11.0,-13.0,2.0,-15.0,3.0,74.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,16.0,-12.0
-11.0,-13.0,2.0,-16.0,4.0,74.0,0.0,10.0,5.0,72.0,2018.0,1.0,9,17.0,-12.0
-11.0,-13.0,2.0,-16.0,5.0,74.0,0.0,10.0,3.0,72.0,2018.0,1.0,9,18.0,-13.0
-11.0,-13.0,2.0,-17.0,5.0,72.0,0.0,10.0,6.0,72.0,2018.0,1.0,9,19.0,-13.0
-11.0,-13.0,2.0,-17.0,4.0,70.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,20.0,-13.0
-11.0,-13.0,2.0,-17.0,4.0,68.0,0.0,10.0,10.0,72.0,2018.0,1.0,9,21.0,-13.0
-11.0,-13.0,2.0,-17.0,3.0,68.0,0.0,10.0,8.0,72.0,2018.0,1.0,9,22.0,-13.0
-11.0,-13.0,2.0,-17.0,3.0,69.0,0.0,10.0,5.0,72.0,2018.0,1.0,9,23.0,-13.0
-11.0,-14.0,2.0,-17.0,2.0,69.0,0.0,10.0,3.0,72.0,2018.0,1.0,10,0.0,-13.0
-11.0,-14.0,2.0,-18.0,2.0,69.0,0.0,10.0,4.0,72.0,2018.0,1.0,10,1.0,-13.0
-11.0,-14.0,2.0,-18.0,3.0,69.0,0.0,10.0,5.0,72.0,2018.0,1.0,10,2.0,-13.0
-11.0,-14.0,2.0,-18.0,3.0,68.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,3.0,-14.0
-11.0,-14.0,2.0,-18.0,15.0,69.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,4.0,-13.0
-11.0,-14.0,2.0,-18.0,28.0,70.0,0.0,10.0,5.0,72.0,2018.0,1.0,10,5.0,-13.0
-11.0,-14.0,2.0,-17.0,40.0,70.0,0.0,10.0,5.0,72.0,2018.0,1.0,10,6.0,-13.0
-11.0,-14.0,2.0,-17.0,51.0,72.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,7.0,-13.0
-11.0,-14.0,2.0,-16.0,61.0,73.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,8.0,-13.0
-11.0,-14.0,2.0,-16.0,71.0,75.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,9.0,-12.0
-11.0,-14.0,2.0,-16.0,77.0,75.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,10.0,-12.0
-11.0,-14.0,2.0,-16.0,82.0,74.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,11.0,-12.0
-11.0,-14.0,2.0,-16.0,88.0,74.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,12.0,-12.0
-11.0,-14.0,2.0,-15.0,67.0,75.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,13.0,-12.0
-11.0,-14.0,2.0,-15.0,47.0,77.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,14.0,-11.0
-11.0,-14.0,2.0,-14.0,26.0,79.0,0.0,10.0,8.0,72.0,2018.0,1.0,10,15.0,-11.0
-11.0,-14.0,2.0,-14.0,34.0,79.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,16.0,-11.0
-11.0,-14.0,2.0,-15.0,41.0,79.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,17.0,-12.0
-11.0,-14.0,2.0,-15.0,49.0,79.0,0.0,10.0,6.0,72.0,2018.0,1.0,10,18.0,-12.0
-11.0,-14.0,2.0,-14.0,48.0,79.0,0.0,10.0,7.0,72.0,2018.0,1.0,10,19.0,-11.0
-11.0,-14.0,2.0,-14.0,46.0,80.0,0.0,10.0,9.0,72.0,2018.0,1.0,10,20.0,-11.0
-11.0,-14.0,2.0,-13.0,45.0,80.0,0.0,10.0,10.0,72.0,2018.0,1.0,10,21.0,-11.0
-11.0,-14.0,2.0,-14.0,45.0,80.0,0.0,10.0,9.0,72.0,2018.0,1.0,10,22.0,-11.0
-11.0,-14.0,2.0,-14.0,45.0,79.0,0.0,10.0,9.0,72.0,2018.0,1.0,10,23.0,-11.0
-6.0,-11.0,2.0,-14.0,45.0,79.0,0.0,10.0,8.0,72.0,2018.0,1.0,11,0.0,-11.0
-6.0,-11.0,2.0,-13.0,46.0,79.0,0.0,10.0,9.0,72.0,2018.0,1.0,11,1.0,-10.0
-6.0,-11.0,2.0,-13.0,46.0,79.0,0.0,10.0,9.0,72.0,2018.0,1.0,11,2.0,-10.0
-6.0,-11.0,2.0,-12.0,46.0,80.0,0.0,10.0,10.0,72.0,2018.0,1.0,11,3.0,-9.0
-6.0,-11.0,2.0,-12.0,46.0,80.0,0.0,10.0,11.0,72.0,2018.0,1.0,11,4.0,-9.0
-6.0,-11.0,2.0,-12.0,46.0,80.0,0.0,10.0,11.0,72.0,2018.0,1.0,11,5.0,-9.0
-6.0,-11.0,2.0,-11.0,46.0,80.0,0.0,10.0,12.0,72.0,2018.0,1.0,11,6.0,-8.0
-6.0,-11.0,2.0,-11.0,53.0,79.0,0.0,10.0,11.0,72.0,2018.0,1.0,11,7.0,-8.0
-6.0,-11.0,2.0,-11.0,60.0,79.0,0.0,10.0,10.0,72.0,2018.0,1.0,11,8.0,-8.0
-6.0,-11.0,2.0,-11.0,66.0,79.0,0.0,10.0,10.0,72.0,2018.0,1.0,11,9.0,-7.0
-6.0,-11.0,2.0,-11.0,74.0,77.0,0.0,10.0,11.0,72.0,2018.0,1.0,11,10.0,-8.0
-6.0,-11.0,2.0,-11.0,81.0,76.0,0.0,10.0,13.0,72.0,2018.0,1.0,11,11.0,-8.0
-6.0,-11.0,2.0,-11.0,88.0,75.0,0.0,10.0,15.0,72.0,2018.0,1.0,11,12.0,-8.0
-6.0,-11.0,2.0,-11.0,84.0,75.0,0.0,10.0,14.0,72.0,2018.0,1.0,11,13.0,-7.0
-6.0,-11.0,2.0,-10.0,79.0,75.0,0.0,10.0,13.0,72.0,2018.0,1.0,11,14.0,-6.0
-6.0,-11.0,2.0,-9.0,75.0,76.0,0.0,10.0,12.0,72.0,2018.0,1.0,11,15.0,-6.0
-6.0,-11.0,2.0,-9.0,72.0,77.0,0.0,10.0,12.0,72.0,2018.0,1.0,11,16.0,-6.0
-6.0,-11.0,2.0,-9.0,69.0,78.0,0.0,10.0,12.0,72.0,2018.0,1.0,11,17.0,-6.0
-6.0,-11.0,2.0,-9.0,66.0,79.0,0.0,10.0,12.0,72.0,2018.0,1.0,11,18.0,-6.0
-6.0,-11.0,2.0,-9.0,67.0,79.0,0.0,10.0,11.0,72.0,2018.0,1.0,11,19.0,-6.0
-6.0,-11.0,2.0,-8.0,68.0,79.0,0.0,10.0,10.0,72.0,2018.0,1.0,11,20.0,-5.0
-6.0,-11.0,2.0,-8.0,68.0,79.0,0.0,10.0,9.0,72.0,2018.0,1.0,11,21.0,-5.0
-6.0,-11.0,2.0,-8.0,65.0,78.0,0.0,10.0,11.0,72.0,2018.0,1.0,11,22.0,-5.0
-6.0,-11.0,2.0,-8.0,61.0,78.0,0.0,10.0,12.0,72.0,2018.0,1.0,11,23.0,-5.0
-3.0,-5.0,2.0,-8.0,58.0,78.0,0.0,10.0,14.0,72.0,2018.0,1.0,12,0.0,-5.0
-3.0,-5.0,2.0,-8.0,58.0,78.0,0.0,10.0,12.0,72.0,2018.0,1.0,12,1.0,-4.0
-3.0,-5.0,2.0,-7.0,59.0,78.0,0.0,10.0,11.0,72.0,2018.0,1.0,12,2.0,-4.0
-3.0,-5.0,2.0,-7.0,59.0,78.0,0.0,10.0,9.0,72.0,2018.0,1.0,12,3.0,-4.0
-3.0,-5.0,2.0,-7.0,63.0,78.0,0.0,10.0,12.0,72.0,2018.0,1.0,12,4.0,-4.0
